feature,overall_corr,male_corr,female_corr,abs_overall_corr,abs_male_corr,abs_female_corr,corr_gap,abs_corr_gap
cg05918312,-0.21458621110334766,-0.17297884621496762,-0.23968718801719885,0.21458621110334766,0.17297884621496762,0.23968718801719885,0.06670834180223123,0.06670834180223123
cg15523060,-0.11145560161504203,-0.13729019651558844,-0.09546758106606662,0.11145560161504203,0.13729019651558844,0.09546758106606662,-0.041822615449521816,0.041822615449521816
cg11014124,0.21688187684699015,0.1686487352890026,0.21028890645339332,0.21688187684699015,0.1686487352890026,0.21028890645339332,-0.04164017116439073,0.04164017116439073
cg18481596,0.005661522014211626,0.024188744322143286,0.008572557207475814,0.005661522014211626,0.024188744322143286,0.008572557207475814,0.015616187114667472,0.015616187114667472
cg02700891,0.24033047829954202,0.19196852363453712,0.26697362031519034,0.24033047829954202,0.19196852363453712,0.26697362031519034,-0.07500509668065322,0.07500509668065322
cg06124711,-0.10215313981720404,0.12503645263152002,0.104444394345776,0.10215313981720404,0.12503645263152002,0.104444394345776,0.020592058285744022,0.020592058285744022
cg08069247,-0.3193221356560602,-0.38515708634014134,-0.2943913001756096,0.3193221356560602,0.38515708634014134,0.2943913001756096,-0.09076578616453174,0.09076578616453174
cg03275698,-0.14354396952207774,-0.11230474933288631,-0.15240923582097987,0.14354396952207774,0.11230474933288631,0.15240923582097987,0.04010448648809356,0.04010448648809356
cg01913077,-0.10351880500545954,-0.20053623213878372,-0.06080634952546716,0.10351880500545954,0.20053623213878372,0.06080634952546716,-0.13972988261331656,0.13972988261331656
cg06167719,-0.07205167860142041,0.04578814294063504,-0.10470960004012478,0.07205167860142041,0.04578814294063504,0.10470960004012478,0.15049774298075982,0.15049774298075982
cg24996709,-0.12135625639967756,-0.1366336604233089,-0.1179292487472863,0.12135625639967756,0.1366336604233089,0.1179292487472863,-0.018704411676022603,0.018704411676022603
cg05363681,-0.09728754960107036,-0.09504443979771064,-0.10007370826015358,0.09728754960107036,0.09504443979771064,0.10007370826015358,0.005029268462442935,0.005029268462442935
cg02853990,-0.04163805217118534,-0.06517284721704295,-0.021029275098433168,0.04163805217118534,0.06517284721704295,0.021029275098433168,-0.04414357211860978,0.04414357211860978
cg11177333,0.07575123072683082,-0.04930912231490366,0.12643646078528306,0.07575123072683082,0.04930912231490366,0.12643646078528306,-0.17574558310018673,0.17574558310018673
cg19473994,0.0440961622717276,0.012369697548127055,0.03935548348666784,0.0440961622717276,0.012369697548127055,0.03935548348666784,-0.026985785938540785,0.026985785938540785
cg25581822,-0.18364337836162287,-0.14020254375360233,-0.21375367390501135,0.18364337836162287,0.14020254375360233,0.21375367390501135,0.07355113015140902,0.07355113015140902
cg09035079,-0.10418251410902814,-0.15917655501998965,-0.10524109452460442,0.10418251410902814,0.15917655501998965,0.10524109452460442,-0.05393546049538522,0.05393546049538522
cg26860257,-0.059993308998168904,-0.16325251820176567,-0.037130880442943485,0.059993308998168904,0.16325251820176567,0.037130880442943485,-0.12612163775882218,0.12612163775882218
cg11645556,0.115130250089304,0.044571565137845,0.14786064376008845,0.115130250089304,0.044571565137845,0.14786064376008845,-0.10328907862224346,0.10328907862224346
cg22278400,0.054555591457571086,0.00234287066176301,0.08020792802526028,0.054555591457571086,0.00234287066176301,0.08020792802526028,-0.07786505736349726,0.07786505736349726
cg01503065,0.43344130551790927,0.37584985773653984,0.47006254025353206,0.43344130551790927,0.37584985773653984,0.47006254025353206,-0.09421268251699222,0.09421268251699222
cg27639942,0.1951443595321161,0.25203442501445117,0.1923294801118269,0.1951443595321161,0.25203442501445117,0.1923294801118269,0.05970494490262426,0.05970494490262426
cg25490551,0.024490085916260944,0.048878494691744295,0.004485492495102296,0.024490085916260944,0.048878494691744295,0.004485492495102296,0.044393002196642,0.044393002196642
cg04599612,-0.1803721781918085,-0.2081495273194497,-0.1730297972998916,0.1803721781918085,0.2081495273194497,0.1730297972998916,-0.03511973001955809,0.03511973001955809
cg24039042,-0.03473388361522312,0.05812033614039399,-0.0707910895693434,0.03473388361522312,0.05812033614039399,0.0707910895693434,0.12891142570973738,0.12891142570973738
cg22562051,0.02562555352930728,0.015615222548818123,0.01595662341944921,0.02562555352930728,0.015615222548818123,0.01595662341944921,-0.00034140087063108844,0.00034140087063108844
cg05253716,-0.14424266221433965,-0.08823684325123594,-0.151969093355268,0.14424266221433965,0.08823684325123594,0.151969093355268,0.06373225010403206,0.06373225010403206
cg15183651,0.03522323108758023,0.034990368682005696,0.033780602056615726,0.03522323108758023,0.034990368682005696,0.033780602056615726,0.00120976662538997,0.00120976662538997
cg25148347,-0.19263885826162938,-0.1711957574581491,-0.20258746144434692,0.19263885826162938,0.1711957574581491,0.20258746144434692,0.03139170398619781,0.03139170398619781
cg16536563,0.10287332064397348,-0.1020998537963464,0.006157653240311737,0.10287332064397348,0.1020998537963464,0.006157653240311737,-0.10825750703665814,0.10825750703665814
cg05122437,-0.09624920936266067,-0.15018669611449148,-0.07984203057169023,0.09624920936266067,0.15018669611449148,0.07984203057169023,-0.07034466554280125,0.07034466554280125
cg03115558,0.29545869680132986,0.2472503478435252,0.31444384611645065,0.29545869680132986,0.2472503478435252,0.31444384611645065,-0.06719349827292545,0.06719349827292545
cg01852476,-0.13468148375120956,-0.11800785556126635,-0.1458516852397271,0.13468148375120956,0.11800785556126635,0.1458516852397271,0.02784382967846076,0.02784382967846076
cg02174232,-0.10852465180543544,-0.12497352277353459,-0.10332720224594494,0.10852465180543544,0.12497352277353459,0.10332720224594494,-0.02164632052758965,0.02164632052758965
cg00867510,-0.12021619932301163,-0.09034851112409867,-0.11962990224491205,0.12021619932301163,0.09034851112409867,0.11962990224491205,0.029281391120813377,0.029281391120813377
cg13617301,-0.11647277185131452,-0.08919353918474224,-0.15437432582936417,0.11647277185131452,0.08919353918474224,0.15437432582936417,0.06518078664462193,0.06518078664462193
cg06592987,0.12595206224857067,0.10337321772926406,0.14061197895520497,0.12595206224857067,0.10337321772926406,0.14061197895520497,-0.037238761225940914,0.037238761225940914
cg24451800,0.24991459953053347,0.18149190099443743,0.29627676309805145,0.24991459953053347,0.18149190099443743,0.29627676309805145,-0.11478486210361402,0.11478486210361402
cg03294668,-0.06731432273527159,-0.07880503351021574,-0.05825918797879763,0.06731432273527159,0.07880503351021574,0.05825918797879763,-0.02054584553141811,0.02054584553141811
cg07725889,-0.09919662323555731,-0.0914716919071312,-0.10126907414241165,0.09919662323555731,0.0914716919071312,0.10126907414241165,0.009797382235280455,0.009797382235280455
cg09863247,0.21856913940730874,0.19107973108537266,0.2652819967093085,0.21856913940730874,0.19107973108537266,0.2652819967093085,-0.07420226562393586,0.07420226562393586
cg12404465,-0.044263965814837235,0.015285488111502973,-0.060690907236407424,0.044263965814837235,0.015285488111502973,0.060690907236407424,0.0759763953479104,0.0759763953479104
cg06934023,0.03311799678570302,0.10955758374116711,-0.009265141497618626,0.03311799678570302,0.10955758374116711,0.009265141497618626,0.11882272523878575,0.11882272523878575
cg17518818,0.07227195620755937,0.05984229848360295,0.061783922446748823,0.07227195620755937,0.05984229848360295,0.061783922446748823,-0.001941623963145872,0.001941623963145872
cg19377384,0.047269305868037,0.019755339578893534,0.08410299930919823,0.047269305868037,0.019755339578893534,0.08410299930919823,-0.06434765973030471,0.06434765973030471
cg27191600,-0.11263085984741207,-0.0425122648320242,-0.13588624188092283,0.11263085984741207,0.0425122648320242,0.13588624188092283,0.09337397704889863,0.09337397704889863
cg02640612,0.05775294175687407,0.017033019180660955,0.07582875897692491,0.05775294175687407,0.017033019180660955,0.07582875897692491,-0.05879573979626396,0.05879573979626396
cg26416971,0.09700424708383958,0.06924355955761187,0.1276855468317478,0.09700424708383958,0.06924355955761187,0.1276855468317478,-0.05844198727413592,0.05844198727413592
cg03189075,-0.14765680873133774,-0.09212694524406995,-0.16989860608845614,0.14765680873133774,0.09212694524406995,0.16989860608845614,0.07777166084438619,0.07777166084438619
cg01139039,-0.2900135437009079,-0.31846588657896635,-0.2937659851678448,0.2900135437009079,0.31846588657896635,0.2937659851678448,-0.02469990141112155,0.02469990141112155
cg27423692,-0.20390746045658803,-0.1561545105157983,-0.2202286452108019,0.20390746045658803,0.1561545105157983,0.2202286452108019,0.06407413469500362,0.06407413469500362
cg04019011,-0.1539500331734275,-0.22127492561921108,-0.12737085982948002,0.1539500331734275,0.22127492561921108,0.12737085982948002,-0.09390406578973107,0.09390406578973107
cg07269491,-0.07285777238500685,-0.002684371325798134,-0.10624457434258519,0.07285777238500685,0.002684371325798134,0.10624457434258519,0.10356020301678706,0.10356020301678706
cg14641231,-0.30350710081355214,-0.24417106269656852,-0.32474027055067173,0.30350710081355214,0.24417106269656852,0.32474027055067173,0.08056920785410321,0.08056920785410321
cg07278054,0.2214375462668986,0.16713614488354442,0.23960128076653234,0.2214375462668986,0.16713614488354442,0.23960128076653234,-0.07246513588298792,0.07246513588298792
cg02765403,-0.13870694945683507,-0.0775847286266982,-0.15496499995188215,0.13870694945683507,0.0775847286266982,0.15496499995188215,0.07738027132518395,0.07738027132518395
cg18766685,-0.1079457508815521,-0.04786985908613771,-0.12628294006246446,0.1079457508815521,0.04786985908613771,0.12628294006246446,0.07841308097632675,0.07841308097632675
cg21578541,0.20417235850224974,0.11806403374896328,0.2339513902961138,0.20417235850224974,0.11806403374896328,0.2339513902961138,-0.11588735654715053,0.11588735654715053
cg15237923,0.2179256525736197,0.16973502821471836,0.24532461355320853,0.2179256525736197,0.16973502821471836,0.24532461355320853,-0.07558958533849017,0.07558958533849017
cg13353152,-0.21357621076570985,-0.21540462135025254,-0.22108676870988267,0.21357621076570985,0.21540462135025254,0.22108676870988267,0.00568214735963013,0.00568214735963013
cg06640776,-0.052132928012969655,-0.09902388633820156,-0.009431231929844257,0.052132928012969655,0.09902388633820156,0.009431231929844257,-0.0895926544083573,0.0895926544083573
cg24098643,0.01976251295920661,-0.03174585835737141,0.032465431817191893,0.01976251295920661,0.03174585835737141,0.032465431817191893,-0.06421129017456331,0.06421129017456331
cg05323683,-0.14979457065358245,-0.04671946467496801,-0.18160202718967533,0.14979457065358245,0.04671946467496801,0.18160202718967533,0.13488256251470732,0.13488256251470732
cg14276580,-0.03127389602784337,-0.1745194332662017,0.021538987540596077,0.03127389602784337,0.1745194332662017,0.021538987540596077,-0.19605842080679778,0.19605842080679778
cg25176380,-0.0988092752888453,-0.0173241493046539,-0.12088520198155644,0.0988092752888453,0.0173241493046539,0.12088520198155644,0.10356105267690255,0.10356105267690255
cg15243721,-0.12946000895168885,-0.08083164084786604,-0.13862765341878347,0.12946000895168885,0.08083164084786604,0.13862765341878347,0.05779601257091743,0.05779601257091743
cg21141089,-0.20160829975873895,-0.21408228204499105,-0.19731942585192566,0.20160829975873895,0.21408228204499105,0.19731942585192566,-0.01676285619306539,0.01676285619306539
cg08164006,0.14056986668188656,0.10488053649133573,0.15324473699707256,0.14056986668188656,0.10488053649133573,0.15324473699707256,-0.048364200505736823,0.048364200505736823
cg02901644,0.05942191615433284,0.0604418083789882,0.052766096170445594,0.05942191615433284,0.0604418083789882,0.052766096170445594,0.007675712208542608,0.007675712208542608
cg06212336,-0.14638527384165712,-0.09935371188806151,-0.16304163190034002,0.14638527384165712,0.09935371188806151,0.16304163190034002,0.0636879200122785,0.0636879200122785
cg15892676,0.05684876787501311,-0.03538274784094886,-0.01087470753373609,0.05684876787501311,0.03538274784094886,0.01087470753373609,-0.024508040307212767,0.024508040307212767
cg14275842,-0.00019440606698548185,-0.0767777332787545,0.02856021587256638,0.00019440606698548185,0.0767777332787545,0.02856021587256638,-0.10533794915132089,0.10533794915132089
cg13400168,0.24433102477249882,0.17640659051242955,0.25577618318025336,0.24433102477249882,0.17640659051242955,0.25577618318025336,-0.07936959266782381,0.07936959266782381
cg21706229,0.3259379765883831,0.2608165597673453,0.34742757227825594,0.3259379765883831,0.2608165597673453,0.34742757227825594,-0.08661101251091063,0.08661101251091063
